,job_descn
39,"Roles & ResponsibilitiesGQ - NVMQRA SENIOR / ENGINEER (RMA) As a Non-Volatile Memory Quality & Reliability Assurance (NVMQRA) Engineer at the Company, you will be responsible for performing formal Failure Analysis of customer reported failing devices via the Returned Material Authorization (RMA) process. You will be required to summarize lab analysis results at the electrical and physical level to identify root cause and establish an associated containment plan. In this role, you will have the opportunities to collaborate with various engineering and manufacturing stakeholders to evaluate and review Corrective Actions /Preventive Actions. You will provide documentation of the RMA findings and oversee the final customer report till closure. In addition, for the senior role, you will be asked to provide guidance and lead the team when solving complex unplanned deviations reported by our customers. Project management skills are necessary and the ability to make critical decisions that directly translate to quality and timely completion of the project is highly desirable. You will also be required to spearhead the sustaining efforts and keeping up to date on new product knowledge, as well as developing and mentoring new talents.   Responsibilities and Tasks Perform Failure Analysis of Customer Returns  Understand customer complaint of the memory component failure Initiate communication with the Company Customer-facing team for further details on customer complaint, requesting additional questions to provide best opportunity for successful analysis Perform bench level analysis including initial data image analysis/examination Perform Automated Test Equipment (ATE) analysis and interpret results Work with the appropriate engineering teams (e.g., PE, PYE) to perform detailed fault isolation when electrical failure has been confirmed Summarize findings and submit for physical failure analysis (PFA).  Provide FA Reports for the Company Customer Facing Team for Communication to Customers  Summarize analysis at electrical and physical level into customer friendly formats. Work with the appropriate manufacturing Global Quality teams through the appropriate request systems (example: GDMS) for Root Cause and/or Corrective Action and a containment plan Identify potential risk to external customers Communicate with respective BU (Business Unit) on potential impact to customers Communicate FA updates through interim reports or during scheduled meetings with the customers. Provide formal FA Report with findings    Sustain Knowledge of Device Capabilities and Characteristics  Keep up to date with latest Wafer Fabrication and Package Assembly process technology Understand datasheet specifications for each device. Comprehension of qualification data and potential impact to customer operation Stay up-to-date on common customer system applications and usage model Partnering with customer support team to resolve ongoing customer issues RequirementsQualifications and Experience  Excellent verbal and written communication skills. The ability to communicate clearly and concisely both verbally and in writing is critical in this role. Good organization skills and ability to multitask and coordinate between multiple issue at any given time. Ability to work effectively in cross-functional teams and handle pressure situations in a professional manner Excellent problem-solving and analytical skills with strong attention to details. Familiarity with NexTest /Teradyne bench analytical tools, scripting in linux console will be an added advantage.      Candidates with 2-3 years of experience in the semiconductor industry as Product or QA engineer are preferred. Relevant experienced candidates will be considered for the Senior Role.  Education A Bachelor or Masters Degree in Electrical Engineering or similar field of study."
40,"Roles & Responsibilities  What You'll Do As a Data Scientist, you will:   • Be the Problem-solver and be the catalyst that will help business teams make better decisions using Data and Analytics • Bring to the table an inter-disciplinary skillset of Applied Math, Technology and Business • Develop Data Products/Services across Descriptive, Inquisitive and Prediictive Analytics to improve business processes and drive tangible business outcomes • Design, build, and operationalize models using the latest in AI/ML techniques to build relevant solutions • Lead complex analytics programs, working with cross-functional teams • Coach and mentor other Data Scientists  • Above all, come with a curious mind and a passionate learning mindset Who You'll Work With Join us at Data and Analytics : we are building a world-class team of passionate, result oriented problem solvers with the aim of enabling better data-driven decisions and thereby creating business impact.  We operate as a startup: work hard, learn every day, focus on doing measurable and impactful work; and have lots of fun along the wayRequirementsWho You Are • Thrive in a multi-tasking, rapid prototyping, and agile development environment Our minimum requirements for this role:  • BS in math, statistics, data science, computer science, engineering, or economics • Minimum 8-10 years related analytics/data science experience • 2+ years experience in a data scientist role doing machine learning, predictive models, artificial intelligence, deep learning, preferably with some of that at a B2B company • Experience with data warehousing and data Integration  tools • Experience with Teradata, Hadoop, Hive, Spark, SAP HANA • Advanced or expert level in SQL, R, Python • Experience with visualization tools, e.g. Tableau or Qlik • Strong communication skills • Ability to draw conclusions from data and recommend actions"
41,"Roles & Responsibilities Creating ETL mappings to extract data from multiple legacy systems;  Transforming and loading the data into the Enterprise Data Warehouse using Informatica; . Developing complex ETL programs using Informatica Power Center Transformations such as Informatica Aggregator, Sorter, Router, Filter, Joiner, Lookup, mapplet, SQL transformation, Stored Procedure and other transformations;  Setting up batches and work flow sessions to run these mappings;  	Designing Informatica mappings and data model structural changes;  	Designing and creating transformer models;  Developing and optimizing complex SQL programs and writing SQL queries, stored procedures, database triggers, cursors, database constraints, in-line views, PL/SQL records and tables;  Understanding business challenges and translating them into process/technical solutions;  Creating documents related to the ETL process; and  	Producing change control documentation.  Requirements Required experience in the development, implementation, and maintenance of Informatica applications. Preferred Other database design, development, and normalization using Oracle DBMS or Microsoft SQL Server.  EA License no.: 13C6338 I Reg no.: R111035"
42,"Roles & ResponsibilitiesXaxis is an agency of GroupM, the world’s largest media investment company and are a part of WPP. In fact, we are responsible for one in every three ads you see globally.   We are currently looking for a Senior Manager to join the Programmatic Trading team for Xaxis Singapore. The Programmatic Trading team at the heart of all Xaxis activity, and is pivotal to the success of each campaign that is executed. We work in a close-knit pod structure to support our clients. We are looking for someone with a positive attitude, enthusiastic and is able to think out of the box and do better with each execution. At GroupM APAC, our people are our strength, which is why fostering a culture of diversity and inclusion is important to us.  Reporting of the role  This role reports to the Client Services Director.  3 best things about the job:  It’s a great work environment - You will collaborate with a group of quick witted, humorous, diverse and extremely dedicated colleagues who are all passionate about programmatic and making advertising welcome. Opinions and ideas are highly encouraged, and everyone has a voice at Xaxis. Ambition is expected and passion is admired. We are always open to new ways of thinking from everyone, especially those that will contribute to the overall success of Xaxis. It is never static. You are empowered to create your own balance and be proactive. There is always something new to learn, new challenges to overcome, and new technology to embrace everyday.  Measures of success – In three months:  Gain an in depth understanding of the programmatic landscape, be trained on the various Xaxis platforms and tools and have an understanding of how Xaxis operates Incorporate and recommend other aspects of the Xaxis business including audience planning and insights, Xaxis products and Xaxis Marketplace as part of the overall campaign strategy and execution Develop relationships and earn trust with your own team as well as the local market operation teams   In six months:  Work with the Engagement Team to grow key accounts’ businesses from the trading perspective Develop and identify gaps/processes/tools to improve campaign performance and efficiency  In twelve months:  Be involved with strategic planning with Engagement team and Agency Run more effient campaigns  Responsibilities of the role: Day to day responsibilities:  Be a part of a team that works together with Engagement team to support and manage programmatic campaigns across all Xaxis products Work with Engagement team on pre-campaign planning Manage the end to end process from brief through to set up, tagging checks and optimization to ensure report metrics are fully captured Strategize and execute campaigns on our platform and ensure optimal delivery and performance Analyze campaign data to develop insights and strategies for campaign optimization Provide in-depth campaign insights and optimization recommendations for campaign improvement  Strategic Responsibilities:  Bridge the gap between sales (Engagement) and Trading Provide guidance to junior members of the team Be able to drive strategic conversations with agency and client on next steps for the benefit of the campaigns Become a trusted advisor and expert within the programmatic trading field Take an active role in developing broader programmatic strategic recommendations and best practices that can be applied      About Xaxis Xaxis is a global digital media platform that programmatically connects advertisers to audiences across all addressable channels. Through the expert use of proprietary data and advertising technology along with unparalleled media relationships, Xaxis delivers results for over 2,800 clients in 40 markets across North America, Europe, Asia Pacific, Latin America and the Middle East. Advertisers working with Xaxis achieve exceptionally high return on advertising spend through the company’s proprietary media products, as well as through its wholly-owned specialist companies, Light Reaction, Bannerconnect, and ActionX.  For more information, visit www.xaxis.com. About Singapore GroupM Singapore operates in one of the most dynamic and exciting environments in the world. Although it is a small domestic market, there is a vibrant media industry which is undergoing rapid evolution as digital technology reshapes the way marketing supports advertisers’ needs. Being at the crossroads of Asia means that aside from the local clients and media owners, we also have a high proportion of multi-national clients and media owners. As the largest media investment management company in Singapore with over 41% market share (Recma) and over 650 employees, GroupM Singapore is the premiere organisation to join and develop a career in. GroupM APAC is committed to fostering a culture of diversity and inclusion. Our people are our strength so we respect and nurture their individual talent and potential.RequirementsWhat you will need:  5-6 years professional experience in a related field with hands on campaign optimization and account management experience Bachelors degree in marketing, communications or a related field Hands on experience and knowledge in programmatic trading Deep understanding of DSPs/SSPs, RTB, ad exchanges, DMPs, audience targeting Experience in campaign implementation, optimization and reporting, experience with response driven/demand generation campaigns Experience in managing and dealing with multi-markets across APAC Understanding of the digital media ecosystem and technology including ad tagging and site analytics Knowledge and passion for digital marketing: digital display, digital branding, digital direct response, SEM, video & mobile Must be able to work in a fast paced environment - harvest vast amounts of information, news, data, and research and distill the most important/relevant information for your agency team and their clients. "
43,"Roles & ResponsibilitiesInterested candidates please send your resume to Hendrich@HTZResources.com Your Role We are looking for a Customer Service Assistant - Purchasing is to help run our warehouse efficiently and according to safety guidelines. Responsibilities include supporting all supply chain procedures, from coordinating deliveries to managing shipping documentation. To be successful in this role, you should be well-organized and have the ability to communicate with customers. especially  in status updates on email correspondeces.   What Will You Do  Supporting the export departments in managing all administrative aspects of customer service Responsible to assist in order processing Reminding customers for repeat orders Internal coordination with planner/ scheduler/ warehouse on delivery Coordiate with 3PL/ external logistics provider and customers for shipment Compile historical data for analysis Updating customers' data and shipment Other adhoc duties as assigned by the management RequirementsWhat Do We Want  Possess at least Diploma in Business/ Logistics/ Supply Chain or equivalent  Proficient in Microsoft Office, especially Microsoft Excel Have SAP System experience Good communication and time management skills Ability to converse in both English and Mandarin to liaise with Mandarin speaking stakeholders "
44,"Roles & ResponsibilitiesTHE ROLE We are seeking engineering professionals who will lead exciting projects in the design and implementation of decentralised water, wastewater and environmental management solutions. You will apply your ingenuity and engineering skills to solve real world problems in an innovative and fast-moving environment. Some of the immediate assignments you may take on include:  Perform site visits, field observations and data collection; Design water and wastewater treatment systems using our range of Water SMART Blue Building technologies for customers in Singapore and the region; Manage the implementation of such water and wastewater treatment projects; Develop innovative proposals to address water and environmental in collaboration with our network of international technical experts; Supervise operations and maintenance of treatment systems to ensure optimal performance RequirementsREQUIREMENTS To succeed in this role, you are likely to possess the following:  Strong passion to make a difference in addressing water and environmental challenges using technology; High level of resourcefulness and ability to think “out of the box”; Degree or post-graduate qualifications in Environmental or Chemical Engineering; At least 5 years experience in design and execution of biological sewage treatment processes, UF/RO membrane separation and/or chemical treatment processes; Experience of working with industrial facilities and PUB plants in Singapore will be an advantage. "
45,"Roles & ResponsibilitiesPZ Cussons is a FTSE 250 listed Consumer Products Group based in the UK with operations in Africa, Asia, the Middle East, and Europe. We are the makers of some of the most familiar household brands includes PZC Beauty, incorporating The Sanctuary Spa, Charles Worthington, St Tropez, and Fudge brands. We also have a number of joint ventures including PZ Wilmar, Nutricima, and HPZ/TEC which includes Cool Wood retail outlets. PZ Cussons employs around 10,000 people worldwide. We have an opening for the below-mentioned position, a 6 months contract position. Interested candidates must complete the indicated contract period and attractive remunerations will be paid. 5-days work week, attractive annual leave, medical and dental benefits. Reports to:  Financial Controller                     Job description.  Provide support to AP team ( Shared services),  ensuring accurate data entry into accounting software Prepare GST Submission Assist in Sales invoice generation to Inter-Companies Ensure upkeep of documentation and filling Other related tasks as required       Requirements   Diploma in Accountancy or related discipline 1-2 years’ of experience in AP / GL Knowledge of GST Independent, meticulous and organised To commit for at least 6 months Ideally if available immediate / within short notice SAP knowledge and experience will be good     "
46,"Roles & Responsibilities Experience with iOS, Objective C or Cocoa Touch and xCode 7+ years experience in mobile application development Thorough understanding of object-oriented design, patterns, especially MVC Proficiency in, at least, one modern object-oriented language such as Objective C (preferred), C++, or C# Strong understanding of interactive application development paradigms, memory management, file I/O, accessing resources from network, concurrency and multi-threading Design and implement new features, create UI, debugging, data modeling Light database programming as needed  Strong object oriented design and development skillsRequirements Experience building iphone Apps that have been successfully delivered to customers Strong analytical skills and attention to detail General knowledge of database concepts and theory. JSON, JavaScript, AJAX, Web Services, OAuth Familiar with Agile programming and Scrum development process Ability to translate technical requirements into business solutions Good organizational and problem solving skills Good team player who is self motivated and well organized  EA License no.: 13C6338 I Reg no.: R1110355"
47,"Roles & ResponsibilitiesThe Accounts Assistant reports to the Accountant to support the finance department in carrying out the responsibilities of the accounting department. He/She covers duties such as work that is specific to accounts receivable, accounts payable, tax filing, data compilation, billing, payroll or other accounting tasks. He/She works specifically with accruals, fixed assets accounting or the monthly and yearly finalisation of accounts for audit purposes. He/She assists with the preparation of trial balance, basic financial statements and simple consolidated financial statements. He/She may be called on to participate in ad-hoc finance-related projects and systems testing when necessary.Requirements1.  Accounting  To ensure that all receivable is processed accurately on a timely manner and in accordance to the internal control within the Company: 	 Setting up new client database in accounting system Coding of client’s invoices and input into accounting system Prepare inter-company billings Review AR ageing reports follow up with clients on outstanding debts Prepare AR reconciliation to Gross Billings Verify and calculate all extensions and totals on invoices (calculating and taking discounts when applicable) Prepare the monthly statement of accounts to clients Prepare intercompany AR revaluation Explore the use of online banking for electronic payments Correspond with clients and respond to inquiries Prepare month end Balance Sheet Schedules   To ensure that general and subsidiary ledgers are kept for prompt monthly closing within T+5: 	 Prepare and enter general ledger journals for receipts Reconciliation of bank accounts, sub-ledger to control account and inter-company accounts Prepare and enter general ledger journals for GST and VAT   Support external audit requirements, including preparation of audit schedules and ensuring timely resolution of audit findings Ensure accounting records and systems are in compliance with Group policies, approved accounting standards and statutory requirements Develop and maintain a filing system   Ensure accounting records are filed in chronological order on a daily basis  2.  Taxation  Ensure compliance of corporate income tax matters in terms of timely submission through preparation of tax schedules and internal income tax computation. Handle VAT preparation to be ready for review by supervisor. Drive the claim of foreign VAT through VAT consultants. Handle GST quarterly preparation to be ready for review by supervisor.    3.  Financial Planning  To support Financial Planning and Analysis (FPNA) Executive for the upgrade of financial systems and tools to automate budgeting and reporting functions which will enable management to quickly and accurately assess financial performance and trends To assist in the quarterly forecasting and annual budgeting.    4.   Systems  Maintenance of mapping tables in SAGE CRM Maintenance of contract maintenance in SAGE ACCPAC Assist in testing and development of new systems    5.   Governmental Survey:  Ensure consistency in statistic reports    6.  Any other duties that will be designated by the superiors to meet exigencies of work."
48,"Roles & ResponsibilitiesThe ICT Executive will assist the Head of Department (Information Technology) in IT planning and introducing new ICT solutions that support teaching and learning in school.   In additional, the ICT executive will also assist the HOD – IT in the execution of daily ICT operational and administrative duties which include but not limit to planning, budgeting, procurement & inventory management and vendor management.       Responsibilities:  a) To coordinate ICT programs in schools and ensure that policies, guidelines and standards are adhered to, including preparation of any relevant documentations and guidelines pertaining to the project.   b) To gather the ICT needs of the school and proactively scan the market for technology trends and new technology tools that support Teaching and Learning, including market pricing of these solutions.   c) To purchase ICT Equipment & Services based on the school’s requirements (through bulk tenders, calling tenders and quotations).   d) To manage the school’s ICT resources, including the loan, replacement and condemnation of ICT equipment.   e) To organize and conduct ICT briefings and trainings for school staff and pupils on ICT implementations as and when required.   f) To manage the school’s ICT system, including data extraction and presentation for school report and analysis purposes.   g) To provide AVA support for all school programs, including training of the AVA crew.   h) To update the school website, including creating flash animation using the photos provided.   i)  To provide Learning Management System support to school   j) Any adhoc ICT and AVA related mattersRequirements Diploma or Degree in Information Technology or equivalent Excellent communication & interpersonal skills Minimum 1 year of working experiences in a progressive information technology role Good planning and communication skills  Interested candidates are invited to apply online by clicking   ‘APPLY NOW’ button below with an updated resume.   Only shortlisted candidates will be notified. "
49,"Roles & Responsibilities  Responsibilities •Take charge of Equipment Key Performance Indices. •Identify gaps and provide resolution for continuous improvement. •Handle equipment related software, liaising with developers and users. •Collaborate with cross functional teams to implement improvement programs, addressing needs. •Monitor maintenance and performance data, inclusive of support for other sites. •Participate in meeting, both internal and across global sites. •Perform data analysis and effectively communicating data and action plans. •Providing documented performance management for all direct reports with formal and informal feedback.RequirementsRequirements •Bachelor's or Master’s Degree in Electronics/Electrical/Mechanical Engineering or a related field. •Demonstrate Data analysis and analytical problem-solving skills with an eye for details. •A team player with good interpersonal and communication skills. •The ability to manage multiple issues. •Basic knowledge of using Exceed, JMP will be an advantage. •Some knowledge of Test environment, equipments/processes, SPC, FMEA and verbal communication capability in Mandarin will be an advantage"
50,"Roles & Responsibilities1. Assists Customer 2. Filing 3. Simple Data Entry 4. Answering Phone Calls 5. Handle any ad-hoc clerical dutiesRequirements1. At lease secondary ""O"" or ""N"" level 2. Must have a good working attitude and willingness to learn 3. Working Hours: Monday to Friday 8:30am to 5:30pm and Saturday 8:30am to 12:00nn"
51,"Roles & ResponsibilitiesThe position involves leading a cross-country team of Data Scientists to provide Data Science (AI, ML & DL) based solutions to our customers in the region. The job scope includes pre-sales, proposal creation and delivery of Data Science solutions, optionally leveraging BigTapp's NLP IP. Job entitles frequent short to medium term travel in ASEAN to handle our prospects & customers.RequirementsMinimum of 6 to 8 years of Data Science experience covering Big Data toolsets and open source tool sets like R, Phython and Scala. Experiece in key consumer focused domains like Telco and/or Banks is mandatory. Experience in Text Analytics is mandatory. Experience in managing virtual teams spread across time zones."
52,"Roles & ResponsibilitiesJob Responsibilities: You will be part of a team conducting research to better understand industry sentiments and challenges faced by our local companies. The objective of the research is to improve the effectiveness of Government schemes and policies. You will also be responsible for synergising data across various data sources to complement the team’s research to generate insights to inform policy decisions. Job Requirements: The ideal candidate should demonstrate a combination of the following:  Background and/or relevant experience in a quantitative discipline: Data Analytics, Engineering, Economics, Statistics, Applied mathematics, Computer Science, or related disciplines with substantial quantitative content Experience with industry research and analysis Ability to wrangle and analyze data in Python will be a bonus Excellent written and verbal communication skills Excellent analytical and problem solving skills Possess initiative and comfortable working independently in a fast-paced environment  For more information on careers in MCI, please access the following link: http://www.mci.gov.sg/web/corp/careers  "
53,"Roles & ResponsibilitiesWe are looking for a highly motivated and passionate Infrastructure Cloud Solution Architect to drive high priority customer initiatives on the Microsoft Azure Platform in collaboration with customers and the Microsoft field in strategic accounts segment of our business. This is a customer facing role, owning overall technical relationship between customer and Microsoft Azure Platform.   The Impact You’ll Be Making:  You will own the and influence the deployment of key Infrastructure, Azure Applications Development & Advanced Analytics and Artificial Intelligence technical customer engagements including: architectural design sessions, specific implementation projects and/or Pilots. The ideal candidate will have experience in customer facing roles and success leading deep technical architecture discussions with senior customer executives, Enterprise Architects, IT Management and Developers to drive core Infrastructure solutions and Datacentre migrations, Application Development & DevOps solution and drive Advanced Analytics and Artificial Intelligence solutions.   Key responsibilities include:  • Understand customer's overall data estate, LOB applications, IT and business priorities and success measures to design implementation architectures and solutions (Microsoft and 3rd party solutions) • Understand customers' overall applications portfolio, IT and business priorities and success measures to design implementation architectures and solutions (Microsoft and 3rd party solutions) using PaaS, DevOps & Advanced Application coding • Understand customers’ overall data estate, IT and business priorities and success measures to design implementation architectures and solutions (Microsoft and 3rd party solutions) using advanced analytics and artificial intelligence • Apply technical knowledge and customer insights to create a application modernization roadmap and architect solutions to meet business and IT needs, ensuring technical viability of new projects and successful deployments, orchestrating key resources and infusing key application development and devops technologies (e.g. App Service, containers,  serverless, cloud native, Java/node.js, DevOps and OSS tools) • Drive long-term platform adoption by helping customers to develop cloud native projects (e.g. serverless, PCF, Openshift, Service Fabric), supporting them to make the approapiate technical choices and infusing coding practices • Apply technical knowledge to architect solutions that meet business and IT needs, create AA/AI roadmaps, and ensure long term technical viability of new deployments, infusing key analytics and AI technologies where appropriate (e.g. Azure ML, ML Server, BOT framework, Cognitive Services, Azure Databricks, etc.) • Develop deep relationships with key customer IT decision makers, who drive long-term cloud adoption within their company to enable them to be cloud advocates • Maintain technical skills and knowledge, keeping up to date with market trends and competitive insights. • Be a Voice of Customer with Cloud Solution Architect Community to share insights and best practices; with Engineering team to remove key blockers  • Be an Azure Platform evangelist with customers, partners and external communities • Assess the Customers' knowledge of Azure platform and overall cloud ""readiness"" to create ""Customer Readiness Plan"" and ensure its delivery through channels/partnersRequirementsWho We Are Looking For   Experiences Required: Education, Key Experiences, Knowledge and Skills:  • Technical Degree: min of Bachelors in Computer Science or adjacent fields • Breadth of technical experience and knowledge as well as depth in one or two of the following areas: Business Intelligence, Big Data, Data Governance, Data Sciences, Machine Learning, Security, Networking • Deep understanding of large platform solutions, Windows and Linux IaaS, SaaS, PaaS, Security, Storage, networking, OSS tools and emerging computing trends • Deep domain expertise of cloud application development solutions (e.g. PaaS, Serverless, API Management), container orchestration (e.g. Kubernetes, Cloud Foundry), continuous integration technologies (e.g. Jenkins, Spinnaker, Azure for DevOps, Chef, Puppet), web application server technologies, cloud application design, software architecture and practices (design/development/deployment, Agile, SCRUM, ALM), one or more of the following programming languages: C++, C#, Java, Node.js,  JSON, PHP, Perl, Python, Ruby on Rails, Pig/Hive; breadth of technical experience, and technical aptitude to learn and adjust to new technologies and cloud trends required • Experience using integrated development environments (e.g. Visual Studio, Visual Studio Code, Eclipse, XCode) targeting Android, iOS, Linux, Windows, public clouds (i.e. Azure, AWS) required • Experience and understanding of large scale applications portfolio in enterprise-wide environment (including migration of on premise workloads to the cloud) required • Deep understanding of Microsoft AI and data platform technologies, BI technologies, with the technical aptitude and experience to learn new technologies and understand relevant cloud trends • Breadth of technical experience and knowledge, with depth in two or more of the following areas: Business Intelligence, Big Data, Data Governance, Data Science, Machine Learning, Artificial Intelligence • 5+ years of success in consultative/complex technical sales and deployment projects (where necessary, managing various stakeholder relationships to get consensus on solution/projects) • Proven track record of building deep technical relationships with senior IT executives and growing data services in large or highly strategic accounts • Demonstrated ability to adapt to new technologies and learn quickly • Proven track record of driving decisions collaboratively, resolving conflicts and ensuring follow through with exceptional verbal and written communication skills • Presentation skills with a high degree of comfort with both large and small audiences (Senior Executives, IT management and developers)  "
54,"Roles & ResponsibilitiesCyber threats, social media, massive data storage, privacy requirements and continuity of the business as usual require heavy information security measures. As an information security specialist, you will lead the implementation of security solutions for our clients and support the clients in their desire to protect the business. The opportunity You will belong to an international connected team of specialists helping our clients with their most complex information security needs and contributing toward their business resilience. As a cybersecurity consultant, you will work with a team of cyber security experts to implement security solutions for our clients and support the clients in their desire to protect the business. You will belong to an international connected team of specialists helping our clients with their most complex information security needs and contributing toward their business resilience. We will support you with career-long training and coaching to develop your skills. As EY is a global leading service provider in this space, you will be working with the best of the best in a collaborative environment. So whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.RequirementsYour key responsibilities This is a role where no two days are the same – so you’ll find yourself taking on plenty of new responsibilities as you go. You’ll work alongside clients and colleagues, balancing your time between developing security strategies, advising stakeholders, providing workshops and supporting business development. If you’re flexible and ready to adapt to a constantly changing environment, there’s no better place to develop your skills. Since you’ll be working directly with clients, some travel will be required. Responsibilities:    Perform IT security assessments for clients (e.g. security risk assessments, IT network infrastructure reviews, system technical configurations review, information security policies and processes/procedures review etc.)   Evaluate and analyze threat, vulnerability, impact and risk to security issues discovered from security assessments   Advise clients on the security issues, including explanation on the technical details and how they can remediate the vulnerabilities in the processes and controls     To qualify for the role you must have   A recognized university degree in Computer Science, Computer/Electrical Engineering, Information Technology or equivalent,   At least one year of relevant experience   Knowledge in security controls,, networks and operating systems would be an added advantage   Experience in leading teams on projects would be an added advantage   Strong interest in the field of cybersecurity   Creative, independent with good problem solving skills   Excellent communicator with strong analytical, interpersonal and writing skills   Willingness to travel on overseas assignment as the need arises     Ideally, you’ll also have   Professional certifications such as GIAC Penetration Tester (GPEN), Certified Information Systems Auditor (CISA) and / or Certified Information Systems Security Professional (CISSP), Certified Information Security Manager (CISM), ISO27001, OSCP, CREST     What we look for Highly motivated individuals with excellent problem-solving skills and the ability to prioritize shifting workloads in a rapidly changing industry. An effective communicator, you’ll be a confident team player that collaborates with people from various teams while looking to develop your career in a dynamic organization.   What working at EY offers We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. We also offer you:   Support, coaching and feedback from some of the most engaging colleagues around   Opportunities to develop new skills and progress your career   The freedom and flexibility to handle your role in a way that’s right for you     About EY As a global leader in assurance, tax, transaction and advisory services, we’re using the finance products, expertise and systems we’ve developed to build a better working world. That starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we’ll make our ambition to be the best employer by 2020 a reality.   If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible. Join us in building a better working world. Apply now."
55,"Roles & ResponsibilitiesThe Accounts Executive/Accounts Assistant reports to the Accountant to support the finance department in carrying out the responsibilities of the accounting department. He/She covers duties such as work that is specific to accounts receivable, accounts payable, tax filing, data compilation, billing, payroll or other accounting tasks. He/She works specifically with accruals, fixed assets accounting or the monthly and yearly finalisation of accounts for audit purposes. He/She assists with the preparation of trial balance, basic financial statements and simple consolidated financial statements. He/She may be called on to participate in ad-hoc finance-related projects and systems testing when necessary.  Requirements~ Assign account codes to all transactions in the accounting system. ~ Calculate customer/supplier account balances and reconcile with totals. ~ Compile the relevant business documentation used in banking processes. ~ Enter accurate and timely data into the accounting system. ~ Maintain accurate financial records and statements. ~ Perform month-end closing activities. ~ Record and process all business transactions within the organisations accounting system using principles of double-entry accounting. ~ Record transactions and events relating to inventory, accruals, prepayments, capital structure and finance costs. ~ Record transactions and events relating to sales, purchases, receivables, payables and cash. ~ Retrieve system reports from the accounting system for managements use. ~ Use relevant IT systems and tools effectively for data analysis."
56,"Roles & ResponsibilitiesThe Finance Manager (FM) is the lead finance business partner for the organisation and has responsibilities covering all aspects of financial management, performance management, financial accounting, budgeting and corporate reporting. He/She reports to the Financial Controller. He/She must have sound technical as well as management skills and be able to lead a team consisting of finance professionals with varied, in-depth or niche technical knowledge and abilities. He/She consolidates their work and ensuring its quality and accuracy, especially for reporting purposes.  The FM is expected to provide sound financial advice and counsel (on working capital, financing or the financial position of the business) to the Financial Controller as well as the organisation's senior management and leadership team by synthesising internal and external data and studying the economic environment. He/She often has a key role in implementing best practices in order to identify and manage all financial and business risks and to meet the organisation's desired business and fiscal goals. He/She is expected to have a firm grasp of economic/business trends and to implement work improvement projects that are geared towards quality, compliance and efficiency in finance.Requirements~ Advise management on the organisations exposure to risks and the involvement of financial institutions, money market instruments and treasury management functions where applicable. ~ Analyse and assess the impact of investment decisions on the financial position of the organisation. ~ Analyse the financial performance and position of the organisation and develop suitable accounting policies to meet reporting requirements. ~ Analyse, compile and present management information for managerial decision making. ~ Apply appropriate appraisal techniques and consideration for taxation, inflation and risk in investment decisions. ~ Articulate to management all relevant tax issues to minimise the organisations tax liabilities. ~ Assess the chargeable gains and losses of the organisation, as well as capital gain tax liabilities. ~ Calculate accounting ratios relating to profitability, liquidity, efficiency and position. ~ Evaluate the effectiveness of the organisations financial system and determine any areas of improvement. ~ Identify and adopt business intelligence tools to analyse financial data and information. ~ Identify and calculate both financial and non-financial performance measurements for reporting on the organisations performance. ~ Manage a documented system of accounting policies and procedures. ~ Oversee the preparation of the organisations budget. ~ Plan and coordinate the annual financial audit process. ~ Provide financial leadership and strategic thinking to support sustainable value-creation. ~ Resolve issues and deficiencies arising from audit findings. ~ Respond to internal and external auditors on audit data, variances and audit findings. ~ Supervise and review the preparation of consolidated financial statements, business activity reports and forecasts for management and external stakeholders. ~ Supervise the calculation of taxable income and income tax liabilities of the organisation. ~ Use management information systems strategically for effective management and control of the business. Education Qualification:             Minimum Diploma/ Degree in Accounting/ ACCA Experience / Skill Required  Minimum 3 years experience preferably in Construction sector Good interpersonal and communication skills and able to interact with people of all levels Ability to develop and establish financial policies and procedures Ability to analyze financial data and to prepare accurate reports in a timely fashion Knowledge of policies and practices associated with payroll and benefits administration Strong organizational skills and the ability to maintain detailed records "
